Name,Instrument,Teachers,Schools,Competitions,Festivals,Chamber Groups,Chamber Group Partners,When Began Current
Camille Avellano,Violinist,Dorothy DeLay,University of Cincinnati College-Conservatory of Music,Chicago Symphony debut at age 13,"Salzburg Festival; Festival Bahnhof Rolandseck in Bonn, Germany",Los Angeles Philharmonic's chamber music series,Andr Previn; Isaac Stern; Bernard Greenhouse; Lars Vogt,1981
Minyoung Chang,violin,Zaven Melikian; Dorothy DeLay; Lisa Kim; Glenn Dicterow,San Francisco Conservatory of Music Preparatory Division; Juilliard Pre-College Division,New Jersey Symphony Orchestra competition; Music Academy of the West Concerto Competition; American String Teachers Association,Taos Chamber Music Festival; Music Academy of the West; Sarasota Music Festival; Aspen Music Festival,Salzburg Chamber Orchestra; Aspen Festival Young Artist Orchestra,,2010
Jordan Koransky,Violin,Alice Schoenfeld; Paul Kantor,University of Southern California; Rice University Shepherd School of Music,,Tanglewood; Taos; Music Academy of the West,New Fromm Players,,2019
Tianyun Jia,Violinist,Gyrgy Pauk; Midori Goto,Shanghai Conservatory of Music; Royal Academy of Music; USC Thornton School of Music,2011 Third China Violin Competition,,,,2017
Ashley Jeehyun Park,Violin,Joel Smirnoff; Ronald Copes; Hyo Kang; I Hao Lee; K.G. Zhang,Juilliard School,Hudson Valley String Competition; Andrea Postacchini International Violin Competition; National YoungArts Foundation; New York Music Competition,Verbier Festival; International Holland Music Sessions; Conservatoire Amricaine at the Fontainebleau Schools; Great Mountains Music Festival,,,2022
Justin Woo,Violin,Paul Kantor; Ivan Zenaty; Bing Wang; Simon James,Cleveland Institute of Music; University of Southern California Thornton School of Music,,New York String Seminar; Pacific Music Festival; Aspen Music Festival; Music Academy of the West,,,2019
Stacy Wetzel,Violinist,,Juilliard School; San Francisco Conservatory; Banff Centre; University of Washington; University of Michigan,Washington International Competition; Buffalo Young Artists competition; Tibor Varga Competition (Swiss Radio Prize),,Soviet migr Chamber Orchestra; Chamber Music West; Michigan Chamber Players,,1995
Mischa Lefkowitz,violin,Leonid Kogan; Nathan Milstein; Mischa Mischakoff; Roman Totenberg; Henri Temianka; Jean Fournier,"Moscow Conservatory; Mozarteum Academy (Salzburg, Austria)",1983 Carnegie Hall International American Music Competition; 1985 Yehudi Menuhin International Violin Competition; Rotary International Competition; Paganini International Competition; Bach Festival Young Artists Awards; All-State contest for violin soloists; Concertino-Prague Radio Competition,Meadow Brook Festival; Aspen Festival; Kneisel Hall Festival,Philharmonic Chamber Music Society; Masterpiece Virtuosi (Founder and Music Director),Walt Disney Concert Hall,1977
Justin Woo,violinist,Paul Kantor; Ivan Zenaty; Bing Wang; Simon James,Cleveland Institute of Music; University of Southern California Thornton School of Music,,New York String Seminar; Pacific Music Festival; Aspen Music Festival; Music Academy of the West,,,2019
Johnny Lee,Violin,Esa-Pekka Salonen,Cleveland Institute of Music (CIM); Harvard College,First competition at the age of 8,Spoleto Festival Orchestra,Ensemble Ditto; LA Phils Chamber Music series,,2005
Johnny Lee,Violinist,Esa-Pekka Salonen; Cleveland Institute of Music,Harvard College; Cleveland Institute of Music,,Spoleto Festival Orchestra,Ensemble Ditto; LA Phils Chamber Music series,,2005
Mark Kashper,Violin,David Oistrakh,Moscow Conservatory; Leningrad Conservatory,West-Coast premiere with the Los Angeles Philharmonic under the direction of Pierre Boulez; Super World Orchestra in Japan; World Philharmonic Orchestra in France,Hollywood Bowl; Ojai Festival,,Heinz Holliger; Andr Previn; Emanuel Ax; Yefim Bronfman,1994
DALE BREIDENTHAL,violin,Linda Rose; Eudice Shapiro,University of Southern California,,,sibling chamber group,brother; sister,1983
Ingrid Kuo Chun,Violin,Almita Vamos; Alice Schoenfeld; Dorothy DeLay,Juilliard School,Taiwan National Competition,Hague Music Festival; Aspen Music Festival; Taos Music Festival,Green Umbrella New Music series; LA Phil Chamber Music series,,2005
Tianyun Jia,violinist,Gyrgy Pauk; Midori Goto,Shanghai Conservatory of Music; Royal Academy of Music; USC Thornton School of Music,2011 Third China Violin Competition,,,,2017
JIN-SHAN DAI,Violinist,Julia Bushkova; Eugene Drucker; Philip Setzer; Ani Kavafian; Peter Oundjian; Paul Kantor; Kathleen Winkler,Central Conservatory of Music in Beijing,2000 Emerson International Chamber Music Competition; 2000 Van Rooy National Violin Competition,Taos Chamber Music Festival; Pacific Music Festival; Music Academy of the West; Schleswig-Holstein Music Festival; Jerusalem International Music Festival; Spoleto Festival,Emerson String Quartet,Mstislav Rostropovich; Lowell Liebermann,2010
JIN-SHAN DAI,violinist,Julia Bushkova; Eugene Drucker; Philip Setzer; Ani Kavafian; Peter Oundjian; Paul Kantor; Kathleen Winkler,Central Conservatory of Music in Beijing,2000 Emerson International Chamber Music Competition; 2000 Van Rooy National Violin Competition,"Schleswig-Holstein Music Festival in Germany; Jerusalem International Music Festival in Israel; Spoleto Festival in Charleston, South Carolina; Pacific Music Festival in Sapporo, Japan; Music Academy of the West in Santa Barbara, California; Taos Chamber Music Festival in New Mexico",Emerson String Quartet,Mstislav Rostropovich; Lowell Liebermann,2010
CHAO-HUA JIN,Violinist,Masuko Ushioda; James Buswell; Louis Krasner; Eugene Lehner,Central Conservatory of Music; New England Conservatory of Music,China National Youth Violin Competition,Taos; Grand Teton; Musicoda,Philharmonic New Music Group,Masuko Ushioda; Scott Nickrenz; Laurence Lesser,1999
Jung Eun Kang,Violinist,,Yale Philharmonia; New World Symphony; Los Angeles Philharmonic,Sung Jung Competition; 30th Busan Music Competition; Sejong Arts and Culture Foundation Competition; Woolsey Concerto Competition,,Sejong Soloists,Fendi RenaissanceAnima Mundi,2021
Nickolai Kurganov,Violin,Ludmila Adzhemova; Irina Etigon; Robert Lipsett,Special Music School at St. Petersburg; University of Southern California,Russian Federation National Violin Competition; Kingsville International Competition,Schleswig-Holstein Music Festival; Zelt Music Festival; White Nights Festival,,,15
Nickolai Kurganov,Violin,Ludmila Adzhemova; Irina Etigon; Robert Lipsett,Special Music School at St. Petersburg; University of Southern California,Russian Federation National Violin Competition; Kingsville International Competition,Schleswig-Holstein Music Festival; Zelt Music Festival; White Nights festival in St. Petersburg,,,0
Guido Lamell,Violinist,Carlo Maria Giulini,Louisville Orchestra; Mexico City Philharmonic,Philharmonic-level ideals,Walt Disney Concert Hall,Los Angeles Philharmonics Chamber Music Society; Green Umbrella series,Gustavo Dudamel; Emanuel Ax; Lynn Harrell; Joshua Bell; Sir Simon Rattle,2012
Varty Manouelian,violin,,UCLA Herb Alpert School of Music,Bryan International Competition; Kotzian International Competition; Wieniawski International Violin Competition,Marlboro Music Festival; El Paso Festival; Olympic Music Festival,Various string quartets,Kim Kashkashian; Rohan de Saram; Nobuko Imai; Thomas Ads,1993
Yun Tang,Violinist,Ivan Galamian; Yehudi Menuhin; Helen Dowling,Shanghai Conservatory of Music,Shanghai Spring Music Festival,Gstaad Festival; Beijing Music Festival,Zurich Chamber Orchestra,Isaac Stern,1986
Suli Xue,violin,Alice Schoenfeld,Shanghai Conservatory of Music; USC Thornton School of Music,GLOBAL MUSIC AWARDS,International Music Festivals in United States and Europe,Pacific Harmony String Quartet,,2014
Michelle Tseng,Violinist,Alice Schoenfeld; Ida Kavafian; Ida Haendel; Glenn Dicterow; Joseph Silverstein; Rodney Friend; Sylvia Rosenberg; Gyorgy Pauk; Almita Vamos; Roland Vamos; Boris Kuschnir,USC Thornton School of Music; Juilliard School,ASTA 2011 National Finals Competition,New York String Orchestra Seminar; Cambridge International String Academy (CISA) 2012,CISA Orchestra; USC Symphony; Juilliard Orchestra; Los Angeles Philharmonic,Gustavo Dudamel,2017
Suli Xue,violin,Alice Schoenfeld,Shanghai Conservatory of Music; USC Thornton School of Music,GLOBAL MUSIC AWARDS,International Music Festivals in United States and Europe,Pacific Harmony String Quartet,,2014
Gabriela Pea-Kim,violin,Alexander Kerr,Jacobs School of Music at Indiana University,Music Academy of the West concerto competition,Music Academy of the West; Pacific Music Festival; Schleswig-Holstein Musik Festival; Aspen Music Festival; St. Augustine Music Festival,Lawson Ensemble; Diaz Trio,Stephen Rose,2019
Ben Ullery,viola,,Oberlin Conservatory; New England Conservatory; Colburn School,,Festival Mozaic; La Sierra University; Music in the Vineyards; Mainly Mozart; Emerald City; Music at Millford; Leksand; Grand Teton; Aspen,,Dominic Cheli,2023
Teng Li,Viola,"Central Conservatory in Beijing, China; Curtis Institute of Music in Philadelphia",,"Johanson International; Holland-America Music Society; Primrose International Viola Competition; Irving M. Klein International String Competition; ARD International Music Competition in Munich, Germany; Astral Artistic Services 2003 National Auditions",Marlboro; Santa Fe; Mostly Mozart; Music from Angel Fire; Rome; Moritzburg (Germany); Rising Stars Festival in Caramoor,Rosamunde Quartet; Arkel Trio,Noah Bendix-Balgley; Lincoln Center Chamber Music Society Two program,2020
Dana Lawson,Viola,James Dunham; Robert Levin; Misha Amory; Heidi Castleman,Harvard College; Juilliard School,,Aspen Music Festival; Taos Music Festival; Tanglewood Music Festival,,,2004
Richard Elegino,violist,Fumiki Asazuma; V. Barstow; L. Kievman,,,,Astre Quartet; Ohta Pacific Chamber Players,,1980
John Hayhurst,Viola,Robert Vernon,University of Southern California; Cleveland Institute of Music,,,,,1984
Ingrid Hutman,viola,Louis Kievman; Heiichiro Ohyama; Robert Vernon,California State University Northridge; Encore School of Music; Cleveland Institute of Music,"Los Angeles Philharmonic Institute (1987, 1988)",,Los Angeles Philharmonic Chamber Music Society; Los Angeles Philharmonic New Music Group,,1991
Ingrid Hutman,viola,Louis Kievman; Heiichiro Ohyama; Robert Vernon,California State University Northridge; Encore School of Music; Cleveland Institute of Music,"Los Angeles Philharmonic Institute (1987, 1988)",,Los Angeles Philharmonic Chamber Music Society; Los Angeles Philharmonic New Music Group,,1991
Michael Larco,Viola,Heidi Castleman; Misha Amory; Samuel Rhodes; Thomas Riebl; Bruno Giuranna,Juilliard School; Mozarteum,Frank Huntington Beebe Scholarship,Skaneateles Festival; Monadnock Music,Fountain Ensemble; Biava String Quartet,Lynn Harrell; Itzhak Perlman; Alisa Weilerstein; Rachel Barton Pine; Anthony Dean Griffey; Warren Jones,2012
Hui Liu,violist,Raphael Hillyer; Michael Tree; Karen Tuttle; Joseph de Pasquale,Curtis Institute of Music; Boston University,,Marlboro; Tanglewood; Ravinia; Edinburgh,,Emanuel Ax; Hilary Hahn; Jaime Laredo; David Soyer; Peter Wiley; Masuko Ushioda; Laurence Lesser,1999
Michael Larco,Violist,Heidi Castleman; Misha Amory; Samuel Rhodes; Thomas Riebl; Bruno Giuranna,Juilliard School; Mozarteum,,Skaneateles Festival; Monadnock Music,Fountain Ensemble; Biava String Quartet,Lynn Harrell; Itzhak Perlman; Alisa Weilerstein; Rachel Barton Pine; Anthony Dean Griffey; Warren Jones,2012
Hui Liu,violist,Raphael Hillyer; Michael Tree; Karen Tuttle; Joseph de Pasquale,Boston University; Curtis Institute of Music,"Pasadena Community Orchestra concerto debut (2004); Rio Hondo Symphony concerto performance; Symphony Orchestra of California State University, Los Angeles concerto performance; Shenzhen Symphony performance of Berlioz Harold In Italy (2008)",Marlboro; Tanglewood; Ravinia; Edinburgh,,Emanuel Ax; Hilary Hahn; Jaime Laredo; David Soyer; Peter Wiley; Masuko Ushioda; Laurence Lesser,1999
Meredith Snow,viola,Paul Doktor; Samuel Rhodes,Juilliard School of Music,,Tanglewood Music Festival; Aspen Music Festival; Marlboro Music Festival,Philharmonic Chamber Music Society; Green Umbrella Series,,1986
Meredith Snow,Violist,Paul Doktor; Samuel Rhodes,Juilliard School of Music,,Tanglewood; Aspen; Marlboro Music,Colorado String Quartet,,1986
LETICIA OAKS STRONG,viola,Hiroko Primrose; Dr. David Dalton; Donald McInnes,Brigham Young University; University of Southern California,,Music Academy of the West Festival Orchestra; International Viola Congress,Los Angeles Philharmonic Chamber Music series; Green Umbrella series,,1994
Leticia Oaks Strong,viola,Hiroko Primrose; Dr. David Dalton; Donald McInnes,Brigham Young University; University of Southern California,International Viola Congress,Music Academy of the West Festival Orchestra,Los Angeles Philharmonics Chamber Music series; Green Umbrella series,,1994
Minor L. Wetzel,viola,Paul Coletti; Roland Vamos; Emmanuel Vardi; Donald McInnes; Camilla Wicks; Yizhak Schotten; Tadeusz Wronski,Indiana University; University of Michigan; UCLA,Lionel Tertis International Viola Competition,,,Stacy,1994
Minor L. Wetzel,viola,Paul Coletti; Roland Vamos; Emmanuel Vardi; Donald McInnes; Camilla Wicks; Yizhak Schotten; Tadeusz Wronski,Indiana University; University of Michigan; UCLA,Lionel Tertis International Viola Competition,,,,1994
Jonathan Karoly,Cellist,Ronald Leonard,University of Southern California,Pasadena Instrumental Competition; Chicago Cello Society Competition,Marlboro; Kingston; La Jolla Summerfest; Verbier; Sarasota; Music Academy of the West; International Laureates Chamber Music Festival; Aspen,Musicians from Marlboro tours,Pierre Boulez,1997
Robert deMaine,cellist,,Juilliard School; Eastman School of Music; University of Southern California; Yale University; Kronberg Academy,Irving M. Klein International Competition for Strings,,Ehnes String Quartet; piano trio with Hilary Hahn and Natalie Zhu,James Ehnes (Ehnes String Quartet); Hilary Hahn; Natalie Zhu,2012
Ben Hong,Cellist,Lynn Harrell,Juilliard School; University of Southern Californias School of Music,National Cello Competition,Ojai Music Festival; Hollywood Bowl,Chamber music ensembles,Emanuel Ax; Yefim Bronfman; Janine Jansen; Lang Lang; Simon Rattle; Esa-Pekka Salonen,1993
Dahae Kim,Cello,Laurence Lesser; Paul Katz; Bernard Greenhouse; Irene Sharp; Qiang Tu,New England Conservatory of Music,2010 Hudson Valley Philharmonic Strings Competition,Tanglewood Music Center,,Members of the Cleveland Quartet; Members of the Takcs Quartet; Members of the Borromeo Quartet; Members of the Juilliard Quartet,2016
David Garrett,cello,,Bob Cole Conservatory of Music at CSU Long Beach,,,Belrose Duo,Junko Ueno Garrett,2000
Barry Gold,cello,Gretchen Geber; Harvey Shapiro; Felix Galimir,Juilliard School,Coleman Chamber Music Competition,"Tanglewood; Victoria, BC; Mainly Mozart Festival; Steamboat Springs Festival",YMF Debut Orchestra of Los Angeles; piano trio,YMF Debut Orchestra members; unnamed members of the piano trio,1982
Gloria Lum,Cellist,Gabor Rejto; Ronald Leonard,"University of California, Los Angeles; University of Southern California",,Cactus Pear Music Festival,,Andr Previn; Emanuel Ax; Lars Vogt; Joshua Bell,1985
Jason Lippmann,cello,Norman Johns; Peter Wiley; Alan Stepansky; Julia Lichten; David Geber,Manhattan School of Music,,Tanglewood Festival; Aspen Music Festival; Bard Festival; Bellingham Music Festival,Orpheus Chamber Orchestra,,2004
Serge Oskotsky,Cello,Gayane Mndoyan; Natalya Shakhovskaya; Eleonore Schoenfeld; Zara Nelsova; Siegfried Palm; Harvey Shapiro,St. Petersburg Conservatory School of Music; Moscow Conservatory College; University of Southern California,Antonio Janigro International Cello Competition; Irving Klein International String Competition,Savannah International Arts Festival; Summit Music Festival; Nyirbator Music Festival; Schleswig-Holstein Music Festival,Classical Underground series; Los Angeles Philharmonic Chamber Music Society; Los Angeles Philharmonic New Music Group,Los Angeles Philharmonic,1996
Brent Samuel,Cello,Eleonore Schoenfeld; William Pleeth; Joel Krosnick,University of Southern California; Royal Academy of Music; Juilliard School,,Aspen Music Festival; La Jolla Music Festival; Marlboro Music Festival; Sarasota Music Festival; Santa Fe Music Festival; Tanglewood Music Festival,Chamber Music Society; Green Umbrella contemporary music series,Midori; Emanuel Ax; Gil Shaham; Christopher Parkening; Vladimir Feltsman,1999
Christopher Hanulik,Bass,Homer R. Mensch,Juilliard School,,St. Barth Music Festival; Chamber Music Sedona; La Jolla Summerfest,Miami String Quartet; Jacques Thibaud String Trio; Chicago String Quartet; Calder Quartet,Gil Shaham; Cho Liang Lin; Yefim Bronfman; Emanuel Ax; Vladimir Feltsman; Thomas Ads,1984
DAVID ALLEN MOORE,double bass,Dennis Trembly; Paul Ellison; John Clayton; Edwin Barker; Franois Rabbath,University of Southern California; Boston,,Mainly Mozart Festival,Philharmonics New Music Group; Greenbriar Consortium,,2000
Oscar M. Meza,Double Bass,Oscar Meza Sr.; Nathaniel Gangursky; Arni Egilsson,"Sylmar High School; California State University, Northridge",,Congress of Strings at the University of Washington in Seattle; La Jolla Chamber Music Festival; Mainly Mozart Festival,San Diego Symphony; San Diego Opera; San Diego Chamber Orchestras; Los Angeles Philharmonic's Green Umbrella Series,,1990
Ted Botsford,Double Bass,Paul Ellison; Franois Rabbath,Rice University,,Cabrillo Festival of Contemporary Music,,,2017
Jack Cousin,Double Bass,Anthony Bevivino; Leslie Martin; Henry Portnoy; Roger Scott,New England Conservatory,"International Youth Orchestra in St. Moritz, Switzerland",Tanglewood Festival; Temple Music Festival,Los Angeles Philharmonic's Chamber Music series; Green Umbrella series,,1974
Jack Cousin,Double Bass,Anthony Bevivino; Leslie Martin; Henry Portnoy; Roger Scott,New England Conservatory,,Tanglewood Festival; Temple Music Festival,LA Phils Chamber Music; Green Umbrella series,,1974
Jory Herman,Double Bass,,Rice University,,Ojai Music Festival,Green Umbrella; Art of lan; Camarada; Camera Lucida,,2017
Jory Herman,Double Bass,,Rice University,,Ojai Music Festival,Green Umbrella; Art of lan; Camarada; Camera Lucida,,2017
Brian Johnson,Bassist,Bruce Bransby; Timothy Pitts; Christopher Hanulik,Indiana University School of Music; Rice University School of Music,,Aspen Music Festival and School,,,2013
Peter Rof,Bassist,,California State University at Los Angeles; California State University at San Diego; Pepperdine University; Occidental College; California Institute of the Arts (CalArts),Not Available,Chautauqua Symphony; Kapalua Chamber Music Festival; San Diego Mainly Mozart Festival; Grand Teton Music Festival; Sitka Chamber Music Festival,Los Angeles Philharmonic Chamber Music series,,1986
Denis Bouriakov,Flute,William Bennett,Royal Academy of Music,Munich ARD; Jean-Pierre Rampal; Prague Spring; Carl Nielsen; Kobe,,,,2015
Peter Rof,Bassist,,California State University at Los Angeles; California State University at San Diego; Pepperdine University; Occidental College; California Institute of the Arts (CalArts),,Chautauqua Symphony; Kapalua Chamber Music Festival; San Diego Mainly Mozart Festival; Grand Teton Music Festival; Sitka Chamber Music Festival,,,1986
Catherine Ransom Karoly,flutist,Carol Wincenc; Trevor Wye; Mary Kay Fink; Robert Cole; Susan Morris DeJong,Juilliard School; University of WisconsinMadison,,Marlboro; Tanglewood; Spoleto (Italy); La Jolla Music Societys SummerFest,Dorian Wind Quintet,,1996
Michael Fuller,Bass,Benjamin Blazer; Nanette Foley; Marjorie Keefe; John Hood; James VanDemark; Timothy Pitts,High School for Creative and Performing Arts (CAPA); Eastman School of Music; Rice University's Shepherd School of Music,Doublestop Foundation's 2016 Instrument Loan Competition,Spoleto Festival Orchestra; Wabass Institute for the 21st-Century Bass Player,Philadelphia Youth Orchestra; All-City Orchestra; New World Symphony,Joseph Conyers; Harold Robinson; Paul Ellison,2021
Sarah Jackson,Piccolo,Unknown,University of British Columbia,,,,,2003
Sarah Jackson,Piccolo,University of British Columbia,University of British Columbia,,,,,2003
Elise Shope Henry,Flute,Amy Porter; Robert Langevin; Pamela Hackney; Nadine Asin,University of Michigan; Manhattan School of Music,,Aspen Music Festival; Music Academy of the West; Atlantic Music Festival,Los Angeles Philharmonic Green Umbrella; Los Angeles Philharmonic Chamber Music series,,2012
Marion Arthur Kuszyk,Oboe,,Oberlin Conservatory; Eastman School of Music,,Tanglewood Fellowship Orchestra; Summerfest Chamber Music series in Kansas City; Grand Teton Music Festival Orchestra; Sarasota Music Festival; National Orchestral Institute,,,1995
Sarah Jackson,Piccolo,,University of British Columbia,,,,,2003
ANNE MARIE GABRIELE,Oboe,John Ferrillo; Elaine Douvas,Juilliard School,,Aspen Festival; Kent/Blossom Festival; Waterloo Festival; National Orchestra Institute; Breckenridge Music Festival,Mozaic Festival; Music on the Hill Chamber Music Series,,2006
Boris Allakhverdyan,Clarinet,,,2007 Fischoff National Chamber Music Competition; Rimsky-Korsakov International Woodwind Competition; Rozanov International Clarinet Competition; Hellam Concerto Competition; Tuesday Musical; Oberlin Concerto competitions,Lucerne Festival Academy (Switzerland); Mecklenburg-Vorpommern Festival (Germany); Emilia Romagna Music Festival (Italy),Prima Trio,,2016
Carolyn Hove,English horn,,Oberlin College Conservatory of Music,,,Contemporary Chamber Players of the University of Chicago; LA Phils New Music Group,Ralph Shapey,1988
Carolyn Hove,English horn,Not mentioned,Oberlin College Conservatory of Music,,,Contemporary Chamber Players of the University of Chicago; LA Phils New Music Group,Ralph Shapey; Salonen; Kraft; Gerhard Samuel; Paul Turok; Richard Lane; Patrician Morehead; Jeffrey Rathbun; Rolf Rudin; John Steinmetz; Alyssa Morris; Joanne Pearce Martin; Esa-Pekka Salonen,1988
Burt Hara,clarinet,Donald Montanaro; Yehuda Gilad; Mitchell Lurie,Curtis Institute of Music,,Aspen Music Festival; Colorado College Summer Music Festival,,,2018
Andrew Lowy,Clarinet,Yehuda Gilad; Larry Guy; Tom Martin,University of Southern California Thornton School of Music; Harvard College,Queens Symphony Orchestra; Yonkers Philharmonic,Tanglewood Music Center; Music Academy of the West; Mainly Mozart Festival; Twickenham Fest,,,2014
Andrew Lowy,Clarinet,Yehuda Gilad; Larry Guy; Tom Martin,University of Southern California Thornton School of Music; Harvard College,Queens Symphony Orchestra; Yonkers Philharmonic,Tanglewood Music Center; Music Academy of the West; Mainly Mozart Festival; Twickenham Fest,,,2014
Whitney Crockett,Bassoon,Michael Finn; Luciano Magnanini; Stephen Maxym,Juilliard School,,Bellingham Festival Orchestra,Met Chamber Players,New York Kammermusiker,2010
Shawn Mouser,Bassoon,,Louisiana State University; New England Conservatory of Music,,,,,2003
Michele Grego,bassoon,John Miller; Norman Herzberg; David Breidenthal,University of Minnesota; University of Southern California; Juilliard School,Coleman Award from Coleman Chamber Music Society,Music Academy of the West,Los Angeles Philharmonic's New Music Group; Chamber Music Society,,1996
Andrew Bain,French Horn,,Colburn School Conservatory; Aspen Music Festival; Australian National Academy of Music,,Colorado Music Festival; Aspen Music Festival,Hollywood Chamber Orchestra,Brad Warnaar; Geoffrey Gordon,2011
Evan Kuhlmann,Contrabassoon,Frank Morelli; Francine Peterson; Barrick Stees; Eric Stomberg; Samuel Jones; Stanley Wolfe; Philip Lasser,Interlochen Arts Academy; The Juilliard School,,Marrowstone Festival,,,2018
Evan Kuhlmann,Contrabassoon,Frank Morelli; Francine Peterson; Barrick Stees; Eric Stomberg; Samuel Jones; Stanley Wolfe; Philip Lasser,Interlochen Arts Academy; The Juilliard School,,Marrowstone Festival,,,2018
Amy Jo Rhine,Horn,Verne Reynolds; James Decker,Eastman School of Music; University of Southern California,,,QUADRE,,2014
Amy Jo Rhine,Horn,Verne Reynolds; James Decker,Eastman School of Music; University of Southern California,,,QUADRE,,2014
Gregory Roosa,Horn,Ralph Froelich; Dale Clevenger,University of Illinois; University of South Florida,,Colorado Music Festival Orchestra,,,2012
Thomas Hooten,trumpet,Armando Ghitalla; John Hagstrom; Don Owen,University of South Florida; Rice University,,Aspen Music Festival,,,2012
Elyse Lauzon,French Horn,Erik Ralske; Andrew Bain; David Krehbiel; Gail Williams; Jonathan Boen; David Griffin; Daniel Gingrich,The Colburn Conservatory of Music; Northwestern University,,Cabrillo Festival of Contemporary Music; St. Barts Music Festival; Aspen Music Festival; Tanglewood; Music Academy of the West,,,2021
Ethan Bearman,horn,Brian Drake; Eli Epstein,Cornell University,,,Ensemble X,Steven Stucky; Roberto Sierra,2008
Christopher Still,Trumpet,Unknown,Crane School of Music (SUNY  Potsdam); New England Conservatory,,Tanglewood Music Center,Los Angeles Philharmonic,Amanda McIntosh,2007
JAMES WILT,Trumpet,Eugene Blee; Charles Geyer; Edward Treutel; Gordon Smith; John Chipurn,University of Cincinnati College Conservatory of Music; Eastman School of Music,Tokyo Music Festival,Super World Orchestra at the Tokyo Music Festival,Los Angeles Philharmonic Chamber Music series; Los Angeles Philharmonic Green Umbrella series,Symphonica Toscanini,2003
David Rejano,Trombone,Daniel Barenboim; Pierre Boulez,Conservatoire National Suprieur de Musique et de Danse de Paris,European Union Youth Orchestra (EUYO),Sapporo Festival; Summer Brass Festival; International Trombone Festival,West-Eastern Divan Orchestra (WEDO),Daniel Barenboim; Pierre Boulez,2016
Jeffrey Strong,Trumpet,Barbara Butler; Charles Geyer; David Burkhart; Joseph Lenigan,San Francisco Conservatory of Music; Northwestern University,,,,,0
John Lofton,Bass Trombone,,Oberlin College Conservatory of Music,,Rafael Mendez Brass Institute; Summit Brass,Brass Quintets,,2008
Paul Radke,Trombone,Dr. Nathan Dishman; Roger Oyster; Dr. John Marcellus; Larry Zalkind; Allen Barnhill,Eastman School of Music; Rice Universitys Shepherd School of Music,Frank Smith Solo Competition; Lewis Van Haney Philharmonic Prize,International Trombone Festival; Eastern Music Festival; Aspen Music Festival; Chautauqua Music Festival,,,2017
James Miller,Trombone,Per Brevig,University of Northern Iowa; The Juilliard School,,Mainly Mozart Festival; Aspen Music Festival; Ojai Music Festival,Silk Road Ensemble; Paragon Ragtime Orchestra; Ensemble ST-X; Michael Bubl Big Band,N/A,1999
James Babor,percussion,Richard Weiner; Paul Yancich; Cloyd Duff; Doug Howard,Texas A&M University; Cleveland Institute of Music,,Visions and Voices: The Arts and Humanities Initiative,S Percussion,,1993
Joseph Pereira,Timpanist/Percussionist,Esa-Pekka Salonen,USCs Thornton School of Music; Juilliard School,,Aspen Music Festival; Music Academy of the West; Hear Now Music Festival,Maraca2 percussion duo,Colin Currie; Miro Quartet,2007
Matthew Howard,Percussionist,John Magnussen; Emil Richards; Judy Chilnick; Jerry Steinholtz; Erik Forrester; Joseph Pereira; Jim Babor; Will Hudgins,University of Southern California Thornton School of Music; New England Conservatory,,Verbier Festival Orchestra; Tanglewood Music Center Orchestra,,,2015
Perry Dreiman,percussion,Michael Lencioni; Narada Michael Walden; Jerome Neff; Danny Montoro; Jack van Geem; Barry Jekowsky; Michael Bookspan; Charles Owens,California State University at Hayward; Aspen Music Festival,,Aspen Music Festival,XYLO,Members of the San Francisco Symphony and Opera Orchestras,1985
Joanne Pearce Martin,pianist,Not available,Curtis Institute (Philadelphia),Not available,Various music series and festivals spanning four continents,Not available,Gavin Martin; Jeffrey Kahane,2001
Stephen Biagini,cello,Margaret Rowell; Bonnie Hampton; Raya Garbousova,San Francisco Conservatory of Music,,,,,1995
Emmanuel Ceysson,Harp,Paris Conservatoire,Paris Conservatoire,,,,,2020
KT Somero,Clarinet,Gary Gray; John Bruce Yeh,UCLA; DePaul University,,,Contemporary chamber groups,Living composers,2019
Benjamin,Librarian,Richard Causton; Robin Holloway; Martin Butler; Ed Hughes,University of Cambridge; University of Sussex,,Barbican Centre; Tokyos Suntory Hall; Paris Philharmonie; La Scala Milan; Hamburgs Elbphilharmonie; Berlin Philharmonie,,,2019
Andris Nelsons,conductor,N/A,Latvian National Opera Orchestra,,Tanglewood,,,2023
Thomas Wilkins,Conductor,,Indiana University,,Hollywood Bowl Orchestra,,,2020
Seiji Ozawa,Conductor,Hideo Saito; Charles Munch; Karajan; Bernstein,Toho School of Music,International Competition of Orchestra Conductors (1959),Saito Kinen Festival Matsumoto,Saito Kinen Orchestra; Mito Chamber Orchestra,Kazuyoshi Akiyama,2011
Tamara Smirnova,Violin,Eugenia Chugaeva,Tchaikovsky Conservatory,Queen Elisabeth Competition (1985),Dubrovnik Summer Festival,Zagreb Soloists,,1989
Elita Kang,violin,Arnold Steinhardt; Yumi Ninomiya-Scott; Pamela Frank; Felix Galimir; Norman Carol; Louise Behrend,Juilliard School; Curtis Institute of Music,Juilliard Concerto Competition; America String Teachers Association Competition,Tanglewood Music Center; Rockport Music Festival,Boston Symphony Chamber Players,David Deveau,1997
Alexander Velinzon,violin,Dorothy DeLay,Leningrad School for Gifted Children; Manhattan School of Music; Juilliard School,Heida Hermann International Competition; Tibor Varga International Competition,,Walden Chamber Players; Boston Symphony Chamber Players; LiveARTS String Quartet,,2015
